Country or area, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011
Number (thousands), 407, 762, 1513, 2531, 3439, 4461, 7440, 10822

Per 100 inhabitants, 3, 6, 11, 18, 24, 30, 48, 68

Malta

Number (thousands), 306, 324, 347, 369, 386, 422, 456, 522

Per 100 inhabitants, 75, 79, 84, 89, 93, 102, 109, 125

Marshall Islands

Number (thousands), 1, 1, 1, 2, 2, 3, 4, 

Per 100 inhabitants, 1, 1, 2, 3, 4, 6, 7, 

Mauritania

Number (thousands), 522, 746, 1060, 1414, 2092, 2182, 2745, 3283

Per 100 inhabitants, 18, 24, 34, 44, 63, 65, 79, 93

Mauritius

Number (thousands), 548, 657, 772, 929, 1033, 1087, 1191, 1294

Per 100 inhabitants, 44, 52, 61, 73, 80, 84, 92, 99

Mexico

Number (thousands), 38451, 47129, 55395, 66559, 75303, 83194, 91363, 945655

Per 100 inhabitants, 37, 44, 51, 61, 68, 74, 81, 825

Micronesia (Fed. States of)

Number (thousands), 13, 14, 19, 27, 28, 28, 28, 

Per 100 inhabitants, 12, 13, 17, 25, 25, 25, 25, 

Monaco

Number (thousands), 16, 17, 18, 20, 22, 23, 23, 30

Per 100 inhabitants, 45, 49, 52, 58, 62, 65, 66, 86

Mongolia

Number (thousands), 429, 557, 775, 1195, 1763, 2249, 2510, 2942

Per 100 inhabitants, 17, 22, 30, 46, 66, 83, 91, 105

Montenegro

Number (thousands), 484, 543, 644, 703, 1158, 1294, 1170, 

Per 100 inhabitants, 77, 87, 103, 112, 184, 205, 185, 

Montserrat

Number (thousands), 2, 0, 4, 4, 3, 3, 4, 4

Per 100 inhabitants, 41, 0, 75, 61, 51, 52, 71, 70

Morocco

Number (thousands), 9337, 12393, 16005, 20029, 22816, 25311, 31982, 36554

Per 100 inhabitants, 31, 41, 52, 65, 73, 80, 100, 113

Mozambique

Number (thousands), 708, 1504, 2339, 3080, 4405, 5971, 7224, 7855

Per 100 inhabitants, 3, 7, 11, 14, 20, 26, 31, 33

Myanmar

Number (thousands), 92, 129, 214, 248, 367, 502, 594, 1244

Per 100 inhabitants, 0, 0, 0, 1, 1, 1, 1, 3

Namibia

Number (thousands), 286, 449, 609, 800, 1052, 1217, 1535, 2439

Per 100 inhabitants, 14, 22, 29, 37, 48, 54, 67, 105

Nauru

Number (thousands), 0, 0, 0, 0, 0, 0, 6, 7

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 60, 65

Nepal

Number (thousands), 117, 227, 1157, 3269, 4200, 5598, 9196, 13354

Per 100 inhabitants, 0, 1, 4, 12, 15, 19, 31, 44

Netherlands

Number (thousands), 14800, 15834, 17296, 19285, 20627, 20149, 19179, 198355

Per 100 inhabitants, 91, 97, 106, 117, 125, 122, 115, 

Netherlands Antilles

Number (thousands), 200, 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 109, 0, 0, 0, 0, 0, 0, 

New Caledonia

Number (thousands), 116, 134, 155, 176, 196, 210, 221, 227

Per 100 inhabitants, 51, 58, 66, 74, 81, 85, 88, 89

New Zealand

Number (thousands), 3027, 3530, 3802, 4251, 4620, 4700, 4710, 4820

Per 100 inhabitants, 74, 85, 91, 100, 108, 109, 108, 109

Nicaragua

Number (thousands), 739, 1119, 1830, 2502, 3108, 3345, 3962, 4822

Per 100 inhabitants, 14, 21, 33, 45, 55, 59, 68, 82

Niger

Number (thousands), 172, 324, 483, 900, 1898, 2599, 3806, 4340

Per 100 inhabitants, 1, 2, 4, 6, 13, 17, 25, 27

Nigeria

Number (thousands), 9147, 18587, 32322, 40396, 62988, 74518, 87298, 95167

Per 100 inhabitants, 7, 13, 23, 27, 42, 48, 55, 59

Northern Mariana Islands

Number (thousands), 20, 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 30, 0, 0, 0, 0, 0, 0, 

Norway

Number (thousands), 4525, 4754, 4869, 5038, 5211, 5360, 5649, 5750

Per 100 inhabitants, 99, 103, 104, 107, 109, 111, 116, 117

Occupied Palestinian Terr.

Number (thousands), 437, 568, 822, 1021, 1314, 1800, 0, 

Per 100 inhabitants, 13, 16, 23, 27, 34, 46, 0, 

Oman

Number (thousands), 806, 1333, 1818, 2500, 3219, 3971, 4606, 4809

Per 100 inhabitants, 34, 55, 73, 98, 122, 146, 166, 169

Pakistan

Number (thousands), 5023, 12771, 34507, 62857, 88020, 94342, 99186, 108895

Per 100 inhabitants, 3, 8, 21, 38, 53, 55, 57, 62

Palau

Number (thousands), 4, 6, 8, 11, 12, 13, 15, 15

Per 100 inhabitants, 20, 30, 42, 53, 58, 63, 71, 75

Panama

Number (thousands), 1260, 1749, 2174, 3011, 3915, 6067, 6646, 7281

Per 100 inhabitants, 40, 54, 66, 90, 115, 175, 189, 2041

Papua New Guinea

Number (thousands), 48, 75, 100, 300, 874, 1418, 1909, 2400

Per 100 inhabitants, 1, 1, 2, 5, 13, 21, 281, 34

Paraguay

Number (thousands), 1749, 1887, 3233, 4694, 5791, 5619, 5921, 6529

Per 100 inhabitants, 30, 32, 54, 77, 93, 89, 92, 99

Peru, 0, 0, 0, 0, 0, 0, 0, 

Number (thousands), 4093, 5583, 9120, 15417, 20952, 24700, 29115, 32461

Per 100 inhabitants, 15, 20, 33, 55, 74, 86, 100, 110

Philippines

Number (thousands), 32936, 34779, 42869, 57345, 68117, 75587, 79896, 87256

Per 100 inhabitants, 39, 41, 49, 65, 76, 82, 86, 92

Poland

Number (thousands), 23096, 29166, 36745, 41389, 43926, 44807, 46952, 49200

Per 100 inhabitants, 61, 76, 96, 108, 115, 117, 123, 128

Portugal

Number (thousands), 10571, 11447, 12226, 13477, 14049, 11795, 12210, 12285

Per 100 inhabitants, 101, 109, 116, 127, 132, 111, 114, 115

Puerto Rico

Number (thousands), 1848, 1993, 2199, 2432, 2544, 2712, 2934, 3108

Per 100 inhabitants, 49, 53, 58, 65, 68, 72, 78, 83

Qatar

Number (thousands), 490, 717, 920, 1264, 1429, 1949, 2186, 2302

Per 100 inhabitants, 69, 87, 94, 107, 102, 122, 124, 123

Republic of Korea

Number (thousands), 36586, 38342, 40197, 44369, 45607, 47944, 50767, 52507

Per 100 inhabitants, 78, 82, 85, 93, 96, 100, 105, 109

Republic of Moldova

Number (thousands), 787, 1090, 1358, 1883, 2423, 2785, 3165, 3715

Per 100 inhabitants, 21, 29, 37, 51, 67, 77, 89, 105

Romania

Number (thousands), 10215, 13354, 15991, 20400, 24470, 25100, 24400, 23400

Per 100 inhabitants, 47, 61, 74, 94, 113, 117, 114, 109

Russian Federation

Number (thousands), 73722, 120000, 150674, 171200, 199522, 230500, 237689, 256117

Per 100 inhabitants, 51, 83, 105, 119, 139, 161, 166, 179

Rwanda

Number (thousands), 137, 223, 314, 635, 1323, 2429, 3549, 4446

Per 100 inhabitants, 2, 2, 3, 7, 13, 24, 33, 41

Saint Kitts and Nevis

Number (thousands), 29, 51, 51, 65, 75, 76, 80, 

Per 100 inhabitants, 60, 104, 102, 128, 146, 146, 153, 

Saint Lucia

Number (thousands), 101, 106, 106, 147, 175, 190, 198, 217

Per 100 inhabitants, 62, 64, 63, 87, 103, 110, 114, 123

Saint Vincent-Grenadines

Number (thousands), 72, 71, 88, 110, 130, 121, 132, 132

Per 100 inhabitants, 66, 65, 80, 101, 119, 111, 121, 121

Samoa

Number (thousands), 16, 24, 46, 86, 124, 151, 167, 

Per 100 inhabitants, 9, 13, 25, 47, 68, 83, 91, 

San Marino

Number (thousands), 17, 17, 17, 18, 24, 30, 31, 35

Per 100 inhabitants, 57, 57, 57, 56, 78, 96, 97, 112

Sao Tome and Principe

Number (thousands), 8, 12, 18, 30, 50, 64, 103, 115

Per 100 inhabitants, 5, 8, 12, 19, 32, 39, 62, 68

Saudi Arabia

Number (thousands), 9176, 14164, 19700, 28400, 36000, 44864, 51564, 53706

Per 100 inhabitants, 40, 59, 79, 111, 138, 167, 188, 191

Senegal

Number (thousands), 1121, 1730, 2983, 3631, 5389, 6901, 8344, 9353

Per 100 inhabitants, 11, 16, 27, 32, 46, 57, 67, 73

Serbia

