Number and per 100 inhabitants"

Country or area, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005
Per 100 inhabitants, 4, 8, 14, 22, 26, 29, 37, 44

Micronesia (Fed. States of)

Number, 0, 0, 0, 0, 100, 5869, 12782, 14094

Per 100 inhabitants, 0, 0, 0, 0, 0, 5, 12, 13

Monaco

Number, 11470, 13080, 13930, 14300, 14870, 15080, 15750, 17190

Per 100 inhabitants, 35, 40, 42, 42, 44, 44, 45, 49

Mongolia

Number, 9032, 34562, 154600, 195000, 216000, 319000, 428695, 557207

Per 100 inhabitants, 0, 1, 7, 8, 9, 13, 16, 21

Montserrat

Number, 250, 300, 489, 1200, 1500, 1800, 2180, 

Morocco

Number, 116645, 369174, 2342000, 4771739, 6198670, 7359870, 9336878, 12392805

Per 100 inhabitants, 0, 1, 8, 17, 21, 25, 31, 41

Mozambique

Number, 6725, 12243, 51065, 152652, 254759, 435757, 708000, 1220000

Per 100 inhabitants, 0, 0, 0, 1, 1, 2, 4, 8

Myanmar

Number, 8516, 11389, 13397, 22671, 47982, 66517, 92452, 183434

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 0, 0

Namibia+

Number, 19500, 30000, 82000, 106600, 150000, 223671, 286095, 495000

Per 100 inhabitants, 1, 2, 5, 6, 8, 12, 14, 24

Nauru

Number, 850, 1000, 1200, 1500, 0, 0, 0, 

Nepal

Number, 0, 5500, 10226, 17286, 21881, 81867, 116778, 248820

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 0, 1

Netherlands

Number, 3351000, 6745460, 10755000, 12200000, 12100000, 13200000, 14800000, 15834000

Per 100 inhabitants, 21, 43, 67, 76, 75, 81, 91, 97

Netherlands Antilles

Number, 16000, 30000, 0, 0, 0, 200000, 200000, 

Per 100 inhabitants, 8, 14, 0, 0, 0, 90, 90, 

New Caledonia

Number, 13040, 25450, 49948, 67917, 80000, 97113, 116443, 134265

Per 100 inhabitants, 6, 12, 23, 31, 36, 42, 50, 57

New Zealand+

Number, 790000, 1395000, 1542000, 2288000, 2449000, 2599000, 3027000, 3530000

Per 100 inhabitants, 21, 36, 40, 59, 62, 66, 76, 88

Nicaragua

Number, 18310, 44229, 90294, 164509, 237248, 466706, 738624, 1119379

Per 100 inhabitants, 0, 1, 2, 3, 5, 8, 13, 19

Niger

Number, 1349, 2192, 2056, 2126, 35142, 59307, 148276, 299899

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 1, 2

Nigeria

Number, 20000, 25000, 30000, 400000, 1607931, 3149473, 9147209, 18587000

Per 100 inhabitants, 0, 0, 0, 0, 1, 3, 7, 14

Niue

Number, 0, 380, 410, 400, 490, 600, 650, 

Northern Mariana Islands

Number, 0, 2905, 3000, 13200, 17137, 18619, 20474, 

