Country or area, 2007, 2008, 2009, 2010, 2011, 2012, 2013
Number (thousands), 183, 200, 189, 193, 188, 177, 176

Per 100 inhabitants, 7.1, 7.6, 7.1, 7.1, 6.8, 6.3, 6.2

Montenegro

Number (thousands), 176, 174, 172, 171, 171, 170, 169

Per 100 inhabitants, 28.5, 28.1, 27.7, 27.5, 27.5, 27.3, 27.2

Montserrat

Number (thousands), 3, 3, 3, 3, 3, 3, 3

Per 100 inhabitants, 58.7, 57.1, 54.9, 52.5, 52, 51.5, 58.9

Morocco

Number (thousands), 2394, 2991, 3516, 3749, 3566, 3279, 2925

Per 100 inhabitants, 7.8, 9.7, 11.2, 11.9, 11.1, 10.1, 8.9

Mozambique

Number (thousands), 78, 78, 82, 88, 88, 88, 78

Per 100 inhabitants, 0.4, 0.3, 0.4, 0.4, 0.4, 0.4, 0.3

Myanmar

Number (thousands), 464, 504, 444, 493, 524, 524, 535

Per 100 inhabitants, 0.9, 1, 0.9, 1, 1, 1, 1

Namibia

Number (thousands), 138, 145, 149, 157, 159, 171, 184

Per 100 inhabitants, 6.6, 6.9, 6.9, 7.2, 7.2, 7.6, 8

Nauru

Number (thousands), 2, 2, 2, 0, 0, 0, 

Per 100 inhabitants, 17.9, 17.9, 18.9, 0, 0, 0, 

Nepal

Number (thousands), 701, 805, 813, 842, 846, 832, 851

Per 100 inhabitants, 2.7, 3.1, 3.1, 3.1, 3.1, 3, 3.1

Netherlands

Number (thousands), 7404, 7317, 7256, 7232, 7133, 7182, 7125

Per 100 inhabitants, 45, 44.3, 43.8, 43.5, 42.8, 43, 42.5

Netherlands Antilles

Number (thousands), 87, 88, 89, 90, 0, 0, 

Per 100 inhabitants, 45.4, 45.1, 44.9, 44.9, 0, 0, 

New Caledonia

Number (thousands), 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 60, 63, 67, 72, 76, 80, 85

0, 25.5, 26.3, 27.8, 29.3, 30.5, 31.6, 33.1

New Zealand

Number (thousands), 1747, 1750, 1870, 1880, 1880, 1880, 1850

Per 100 inhabitants, 41.3, 40.9, 43.3, 43, 42.6, 42.2, 41.1

Nicaragua

Number (thousands), 249, 254, 255, 258, 288, 299, 325

Per 100 inhabitants, 4.5, 4.5, 4.4, 4.4, 4.9, 5, 5.3

Niger

Number (thousands), 42, 65, 76, 83, 85, 101, 101

Per 100 inhabitants, 0.3, 0.4, 0.5, 0.5, 0.5, 0.6, 0.6

Nigeria32

Number (thousands), 1580, 1308, 1482, 1050, 719, 418, 361

Per 100 inhabitants, 1.1, 0.9, 1, 0.7, 0.4, 0.3, 0.2

Niue

Number (thousands), 1, 1, 1, 1, 0, 1, 1

Per 100 inhabitants, 62.5, 64.3, 66.2, 68.1, 0, 72.3, 74.4

Northern Mariana Islands

Number (thousands), 24, 25, 25, 26, 0, 23, 23

Per 100 inhabitants, 40.5, 43.1, 45.4, 47.3, 0, 43.2, 42.7

Norway

Number (thousands), 1988, 1900, 1771, 1647, 1522, 1396, 13212

Per 100 inhabitants, 42.1, 39.8, 36.6, 33.7, 30.8, 28, 26.22

Oman

Number (thousands), 295, 301, 300, 284, 287, 305, 351

Per 100 inhabitants, 11.5, 11.6, 11.3, 10.1, 9.5, 9.2, 9.7

Pakistan

Number (thousands), 4806, 4417, 6144, 6079, 5722, 5862, 6371

Per 100 inhabitants, 2.9, 2.6, 3.6, 3.5, 3.3, 3.3, 3.5

Palau

Number (thousands), 7, 7, 7, 7, 7, 7, 7

Per 100 inhabitants, 37.2, 36.5, 35.1, 34.1, 33.6, 35.3, 33.5

Panama

