United Arab Emirates, T, 25, 89, 130, 175, 50, 88, 96, 107
United Arab Emirates, R, 52, 240, 380, 530, 103, 236, 282, 325
Viet Nam, T, 0, 0, "2, 000", "2, 800", 0, 0, 33, 41
Viet Nam, R, "3, 500", "5, 000", "6, 000", "7, 050", 73, 93, 100, 104
Yemen, T, 0, 0, 0, 330, 0, 0, 0, 27
Yemen, R, 0, 0, 0, 325, 0, 0, 0, 27
Albania, T, 5, 0, 232, 285, 2, 36, 78, 87
Albania, R, 175, 400, 493, 577, 72, 150, 166, 176
Andorra, T, 2, 4, 6, 7, 74, 114, 133, 154
Andorra, R, 5, 7, 9, 10, 185, 189, 0, 222
Austria, T, "2, 550", "2, 950", "3, 260", "3, 700", 336, 391, 431, 478
Austria, R, "3, 600", "3, 830", "4, 180", "4, 775", 475, 507, 553, 617
Belarus, T, "1, 600", "2, 100", "2, 500", "2, 760", 170, 219, 250, 0
Belarus, R, "1, 450", "2, 145", "2, 900", "3, 170", 154, 223, 290, 0
Belgium, T, "3, 315", "3, 815", "3, 950", "4, 500", 338, 387, 401, 451
Belgium, R, "6, 200", "7, 200", "7, 450", "7, 675", 633, 731, 756, 769
Bulgaria, T, "1, 960", "2, 150", "2, 220", "2, 260", 225, 243, 248, 252
Bulgaria, R, "3, 150", "3, 500", "3, 750", "3, 970", 361, 395, 419, 442
Croatia, T, 0, 960, 990, "1, 055", 0, 0, 0, 221
Croatia, R, 0, "1, 100", "1, 125", "1, 160", 0, 0, 0, 244
former Czechoslovakia, T, "4, 987", "5, 900", "6, 080", "7, 466", 337, 385, 392, 476
former Czechoslovakia, R, "7, 425", "7, 800", "8, 050", "13, 692", 502, 509, 519, 872
Denmark, T, "2, 110", "2, 550", "2, 675", "2, 760", 417, 498, 522, 536
Denmark, R, "4, 625", "4, 750", "4, 875", "5, 310", 914, 927, 952, "1, 031"
Estonia, T, 0, 0, 0, 550, 0, 0, 0, 347
Faeroe Islands, T, 0, 4, 9, 12, 0, 93, 196, 245
Faeroe Islands, R, 15, 18, 22, 24, 366, 407, 478, 514
Finland, T, "1, 658", "1, 980", "2, 300", "2, 500", 352, 414, 469, 501
Finland, R, "2, 300", "4, 000", "4, 830", "4, 980", 488, 837, 985, 997
France, T, "15, 000", "19, 000", "21, 500", "23, 200", 285, 353, 390, 407
France, R, "30, 000", "39, 900", "48, 000", "50, 600", 569, 741, 870, 888
Germany; Federal Republic of Germany; former German Dem. Rep., T, 0, 0, 0, "44, 400", 0, 0, 0, 556
Germany; Federal Republic of Germany; former German Dem. Rep., R, 0, 0, 0, "70, 000", 0, 0, 0, 876
0, T, "25, 000", "27, 000", "29, 500", 0, 404, 439, 483, 0
0, R, "52, 500", "55, 000", "57, 500", 0, 849, 893, 942, 0
0, T, "7, 835", "8, 600", "12, 300", 0, 465, 514, 739, 0
0, R, "8, 650", "8, 970", "10, 250", 0, 513, 536, 616, 0
Gibraltar, T, 6, 7, 8, 10, 200, 232, 272, 316
Gibraltar, R, 30, 33, 34, 36, "1, 000", "1, 087", "1, 158", "1, 171"
Greece, T, "1, 155", "1, 650", "1, 896", "2, 000", 128, 171, 191, 197
Greece, R, "2, 500", "3, 310", "4, 000", "4, 270", 276, 343, 403, 421
Hungary, T, "2, 850", "3, 320", "4, 250", "4, 340", 271, 310, 399, 412
Hungary, R, "4, 100", "5, 340", "6, 144", "6, 280", 389, 499, 577, 0
Iceland, T, 56, 65, 75, 82, 257, 285, 311, 319
Iceland, R, 140, 162, 185, 202, 642, 711, 768, 786
Ireland, T, 600, 785, 910, 264, 189, 231, 256, 76
Ireland, R, 907, "1, 275", "2, 050", "2, 200", 285, 375, 577, 630
Italy, T, "15, 000", "22, 000", "23, 600", "24, 300", 271, 390, 413, 421
Italy, R, "32, 500", "34, 000", "37, 000", "45, 650", 586, 602, 648, 791
Latvia, T, 0, 0, 0, "1, 000", 0, 0, 0, 372
Liechtenstein, T, 5, 7, 9, 10, 188, 269, 322, 345
Liechtenstein, R, 7, 13, 18, 20, 308, 500, 656, 719
Lithuania, T, 0, 0, 0, "1, 400", 0, 0, 0, 374
Lithuania, R, 0, 0, 0, "1, 420", 0, 0, 0, 379
Luxembourg, T, 87, 90, 92, 100, 240, 247, 251, 267
Luxembourg, R, 179, 200, 228, 237, 494, 549, 621, 632
Malta, T, 176, 202, 235, 264, 579, 623, 683, 742
Malta, R, 141, 165, 178, 187, 464, 509, 517, 526
Monaco, T, 16, 17, 19, 22, 640, 654, 704, 819
Monaco, R, 20, 26, 29, 30, 800, "1, 004", "1, 056", "1, 126"
Netherlands, T, "4, 230", "5, 650", "6, 700", "7, 300", 310, 399, 463, 485
Netherlands, R, "7, 710", "9, 200", "12, 000", "13, 650", 565, 650, 829, 907
Norway, T, "1, 252", "1, 430", "1, 640", "1, 805", 312, 350, 395, 423
Norway, R, "2, 575", "2, 700", "3, 230", "3, 342", 643, 661, 778, 794
Poland, T, "7, 120", "8, 750", "10, 400", "11, 300", 209, 246, 280, 295
Poland, R, "9, 700", "10, 615", "12, 250", "16, 600", 285, 298, 329, 433
Portugal, T, 860, "1, 540", "1, 765", "1, 840", 95, 158, 178, 187
Portugal, R, "1, 530", "1, 660", "2, 000", "2, 250", 168, 170, 202, 228
Romania, T, "2, 950", "4, 085", "4, 375", "4, 560", 139, 184, 193, 1
Romania, R, "3, 725", "3, 930", "4, 100", "4, 620", 175, 177, 180, 199
Russian Federation, T, 0, 0, 0, "54, 396", 0, 0, 0, 0
Russian Federation, R, 0, 0, 0, "49, 046", 0, 0, 0, 0
San Marino, T, 4, 6, 7, 8, 211, 300, 314, 351
San Marino, R, 6, 10, 12, 14, 316, 476, 527, 589
Slovenia, T, 360, 460, 500, 560, 0, 0, 0, 284
Slovenia, R, 450, 500, 650, 710, 0, 0, 0, 360
Spain, T, "6, 640", "9, 505", "10, 400", "15, 600", 187, 253, 270, 400
Spain, R, "9, 050", "9, 700", "11, 300", "12, 100", 254, 258, 294, 310
Sweden, T, "3, 750", "3, 830", "3, 875", "4, 030", 458, 461, 464, 468
Sweden, R, "4, 200", "7, 000", "7, 250", "7, 550", 513, 842, 868, 877
Switzerland, T, "2, 050", "2, 300", "2, 550", "2, 745", 323, 364, 394, 406
Switzerland, R, "4, 500", "5, 140", "5, 420", "5, 695", 710, 813, 838, 842
Ukraine, T, "11, 035", "12, 722", "15, 190", "17, 100", 0, 0, 461, 487
Ukraine, R, "23, 539", "28, 941", "36, 434", "41, 300", 0, 0, "1, 107", "1, 177"
United Kingdom, T, "20, 200", "22, 600", "24, 500", "25, 000", 359, 401, 433, 434
United Kingdom, R, "39, 000", "53, 500", "57, 000", "65, 800", 694, 950, "1, 007", "1, 143"
Yugoslavia, T, 0, 0, 0, "1, 800", 0, 0, 0, 0
Yugoslavia, R, 0, 0, 0, "1, 900", 0, 0, 0, 0
"Yugoslavia,  SFR", T, "3, 385", "4, 245", "4, 500", 0, 159, 190, 195, 0
"Yugoslavia,  SFR", R, "4, 415", "5, 000", "5, 580", 0, 207, 224, 241, 0
American Samoa, T, 5, 6, 7, 10, 167, 173, 179, 213
American Samoa, R, 26, 32, 38, 49, 867, 991, 974, "1, 010"
Australia, T, "4, 549", "5, 600", "7, 000", "8, 330", 334, 381, 444, 480
Australia, R, "13, 900", "16, 000", "19, 500", "22, 000", "1, 020", "1, 089", "1, 237", "1, 268"
Cook Islands, T, 0, 0, 0, 3, 0, 0, 0, 182
Cook Islands, R, 7, 8, 10, 13, 368, 417, 578, 738
Fiji, T, 0, 0, 0, 11, 0, 0, 0, 15
Fiji, R, 200, 300, 370, 448, 347, 473, 529, 612
French Polynesia, T, 14, 18, 27, 34, 108, 121, 155, 169
French Polynesia, R, 65, 78, 93, 113, 500, 517, 532, 556
Guam, T, 50, 63, 76, 90, 526, 589, 633, 658
Guam, R, 84, 100, 150, 190, 883, 935, "1, 250", "1, 397"
Kiribati, R, 8, 12, 13, 15, 148, 203, 204, 207
Nauru, R, 3, 4, 5, 6, 400, 488, 588, 575
New Caledonia, T, 15, 25, 40, 46, 113, 179, 260, 268
